Sat Jan 17 14:07:59 CET 2026: Port 8000 already in use; sleeping 2s
Sat Jan 17 14:08:01 CET 2026: Port 8000 already in use; sleeping 4s
Sat Jan 17 14:08:05 CET 2026: Port 8000 already in use; sleeping 8s
Sat Jan 17 14:08:13 CET 2026: Port 8000 already in use; sleeping 16s
Sat Jan 17 14:08:18 CET 2026: Backend process 67760 stopped
Sat Jan 17 14:08:18 CET 2026: Restarting in 1s...
Sat Jan 17 14:08:19 CET 2026: Port 8000 already in use; sleeping 2s
Sat Jan 17 14:08:21 CET 2026: Port 8000 already in use; sleeping 4s
Sat Jan 17 14:08:25 CET 2026: Port 8000 already in use; sleeping 8s
Sat Jan 17 14:08:29 CET 2026: Port 8000 already in use; sleeping 32s
Sat Jan 17 14:08:33 CET 2026: Port 8000 already in use; sleeping 16s
Sat Jan 17 14:08:49 CET 2026: Port 8000 already in use; sleeping 32s
Sat Jan 17 14:09:01 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:09:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:10:01 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:10:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:11:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:11:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:12:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:12:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:13:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:13:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:14:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:14:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:15:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:15:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:16:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:16:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:17:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:17:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:18:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:18:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:19:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:19:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:20:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:20:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:21:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:21:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:22:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:22:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:23:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:23:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:24:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:24:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:25:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:25:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:26:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:26:21 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:27:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:27:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:28:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:28:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:29:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:29:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:30:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:30:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:31:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:31:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:32:02 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:32:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:33:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:33:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:34:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:34:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:35:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:35:22 CET 2026: Port 8000 already in use; sleeping 60s
